id,GICS_P_1,GICS_P_2,GICS_P_3,GICS_P_4,SoC_P_1,SoC_P_2,SoC_P_3,CSC_P_1,CSC_P_2,CSC_P_3,CSC_P_4,SACS_P_1,SACS_P_2,SACS_P_3,SACS_P_4,GICS_1,GICS_2,GICS_3,GICS_4,SoC_1,SoC_2,SoC_3,CSC_1,CSC_2,CSC_3,CSC_4,SACS_1,SACS_2,SACS_3,SACS_4,MAS_UK_1,MAS_UK_2,MAS_UK_3,MAS_UK_4,MAS_UK_5,MAS_UK_6,MAS_UK_7,MAS_UK_8,MAS_UK_9,MAS_UK_10,MAS_UK_11,MAS_UK_12,MAS_UK_13,MAS_UK_14,MAS_UK_15,MAS_UK_16,MAS_UK_17,MAS_UK_18,MAS_UK_19,MAS_UK_20,MAS_UK_21,MAS_UK_22,MAS_UK_23,TAI_1,TAI_2,TAI_3,TAI_4,TAI_5,TAI_6,TAI_7,TAI_8,TAI_9,TAI_10,TAI_11,TAI_12,TAI_13,TAI_14,TAI_15,TAI_16,TAI_17,TAI_18,TAI_19,TAI_20,study,experience,happy,tests,test_hours,test_attempts,test_result,skills,gender,age,ethnic,UK,native,psychology,stage,qualification
R_3GeTOgKZEFvUIsL,3,5,4,3,4,4,3,3,5,1,2,2,2,1,2,2,4,3,3,4,4,4,2,5,4,2,2,2,1,2,3,4,3,3,4,2,3,1,1,1,2,1,2,3,1,1,1,2,2,1,2,3,3,2,3,3,1,2,1,2,4,3,3,2,2,3,2,3,3,2,2,2,2,3.5,2,6,6,1.5,1,0.8,3,2,18,8,1,1,1,1,Alevels
R_3kNRwbbrxH6nHlX,1,2,3,1,5,2,4,2,5,4,5,1,3,1,1,1,2,3,1,5,2,5,2,4,5,5,1,3,1,1,1,1,4,1,2,3,2,1,1,1,1,1,2,1,3,1,1,5,4,2,1,2,1,2,3,2,1,2,1,3,2,3,4,4,4,3,2,3,3,2,2,1,2,6,2,5,6,2,3,90,3,2,18,7,1,1,1,1,A Levels
R_1MR3VNIukScC5XG,4,4,4,4,4,4,2,3,4,4,4,3,2,2,3,3,3,4,3,3,3,2,3,4,3,3,3,2,2,3,4,1,5,1,2,3,5,1,1,2,1,1,1,2,1,1,1,4,1,1,4,1,5,2,3,3,4,3,3,3,3,4,4,3,4,2,3,3,4,3,3,3,3,4,1,5,6,1,1,80,3,2,19,9,1,1,1,1,A-Levels
R_2PhbX9SITopKfXA,2,3,5,5,4,4,5,4,4,1,1,1,4,1,2,2,5,5,5,4,4,2,4,4,2,2,2,2,2,3,4,2,4,2,3,4,5,3,1,2,1,1,1,1,2,2,2,3,2,2,3,1,4,2,3,3,2,1,1,2,3,4,4,4,3,4,2,3,4,4,4,4,3,6,1,3,6,1,3,100,2,2,21,9,1,1,1,1,A-levels
R_25ziPmrlh4ePiW0,1,4,5,3,2,4,2,3,4,1,1,2,2,1,2,1,3,2,1,2,1,5,3,4,2,2,1,3,1,2,2,1,3,1,1,4,3,2,1,1,1,1,1,1,1,1,2,4,3,2,3,1,5,3,2,2,2,1,1,3,2,4,4,3,3,1,1,1,3,3,2,1,3,3,1,1,1,1,3,100,5,2,18,9,1,1,1,1,A-levels
R_3npx7hLSWJiCCuw,1,3,4,4,3,3,4,2,2,5,5,1,4,1,2,1,2,3,3,2,2,4,1,3,5,5,1,3,1,2,4,1,5,3,3,4,5,1,1,2,1,1,2,2,1,1,1,4,3,2,3,2,5,1,4,3,3,3,3,3,2,4,4,3,3,1,3,3,4,3,2,3,3,5,1,6,7,1,1,100,4,2,18,9,1,1,1,1,A-levels
R_2AQO9sMyVP3RHHZ,2,2,1,1,1,2,3,1,2,5,5,1,3,1,2,1,1,1,1,1,1,4,1,2,5,5,1,3,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,3,2,1,1,2,1,1,1,1,3,1,2,1,1,1,3,1,1,1,1,4,2,7,2,4,1,9,3,1,30,8,2,1,1,1,Upper Secondary School
R_3JFUpxxovwfTTj3,1,3,3,3,4,4,4,3,3,3,3,2,2,1,3,1,2,3,3,4,4,4,3,3,3,3,2,2,1,3,2,3,3,1,1,3,2,2,1,2,3,1,1,1,2,1,2,3,1,1,1,1,2,2,2,2,1,1,2,2,3,3,3,3,2,1,2,2,3,1,2,2,2,6,1,4,6,2,2,10,2,2,19,9,1,1,1,1,A-levels
R_4MfssjkYId8TynL,1,2,4,4,4,4,4,3,5,4,2,2,3,1,2,2,3,4,3,1,2,4,3,4,2,3,2,3,1,1,2,2,3,2,2,2,2,3,2,2,1,1,2,2,1,1,1,2,3,1,1,2,3,1,4,3,3,1,2,3,4,4,3,4,4,3,2,4,4,4,3,3,3,6,1,5,7,2,2,90,4,2,18,1,1,1,1,1,A-levels
R_2SH2x9xGu4xWawU,3,4,5,5,3,2,5,2,4,1,2,1,3,1,1,4,4,2,2,3,2,5,2,3,4,4,2,2,1,3,3,4,5,2,3,3,4,3,2,2,1,2,4,3,4,2,2,3,2,4,1,3,3,1,3,3,1,3,2,3,3,4,4,3,3,2,2,2,3,2,3,3,2,5,2,6,7,0.5,3,100,3,2,19,7,1,1,1,1,A Levels
